Order_ID,Order_Date,Region,Category,Product_Name,Customer_Segment,Sales,Profit,Quantity
1001,2023-01-03,East,Office Supplies,Envelope,Corporate,780.35,261.58,8
1002,2025-12-23,North,Office Supplies,Envelope,Corporate,1217.38,117.85,3
1003,2024-10-25,East,Technology,Tablet,Consumer,244.95,46.0,5
1004,2024-07-24,West,Technology,Keyboard,Corporate,1222.17,320.72,6
1005,2025-12-10,South,Office Supplies,Pen Set,Corporate,160.0,42.66,6
1006,2023-03-27,South,Technology,Laptop,Home Office,51.52,17.91,1
1007,2024-09-05,West,Office Supplies,Pen Set,Home Office,643.27,133.43,9
1008,2024-11-22,South,Technology,Monitor,Home Office,617.9,144.31,3
1009,2024-12-11,West,Technology,Printer,Corporate,795.8,274.53,9
1010,2023-10-07,South,Office Supplies,Notebook,Consumer,140.58,32.65,5
1011,2023-11-27,North,Furniture,Desk,Consumer,928.47,50.12,9
1012,2025-06-24,South,Furniture,Office Chair,Home Office,1932.98,565.43,9
1013,2023-05-05,North,Office Supplies,Binder,Corporate,81.13,9.68,7
1014,2024-01-23,East,Office Supplies,Pen Set,Consumer,1239.49,371.8,3
1015,2024-02-11,East,Technology,Keyboard,Corporate,1823.17,232.7,8
1016,2023-08-19,South,Technology,Laptop,Consumer,1522.95,270.39,6
1017,2023-09-07,West,Furniture,Bookshelf,Consumer,1116.09,117.7,2
1018,2024-04-05,East,Technology,Printer,Consumer,1561.51,518.19,4
1019,2024-06-26,North,Furniture,Conference Table,Home Office,1215.9,397.07,8
1020,2023-08-25,South,Furniture,Bookshelf,Corporate,1162.37,239.74,8
1021,2025-11-24,North,Furniture,Bookshelf,Home Office,1696.84,465.27,5
1022,2023-10-20,North,Office Supplies,Stapler,Home Office,1194.16,405.51,9
1023,2025-01-19,North,Furniture,Bookshelf,Consumer,627.73,62.51,9
1024,2023-03-08,East,Technology,Mouse,Home Office,1974.43,556.14,8
1025,2023-02-28,West,Technology,Printer,Home Office,60.77,17.91,1
1026,2024-02-16,South,Furniture,Conference Table,Home Office,1437.12,412.53,5
1027,2024-08-27,South,Office Supplies,Stapler,Consumer,1856.29,455.39,7
1028,2024-05-14,South,Technology,Mouse,Corporate,1707.58,315.62,1
1029,2023-07-24,East,Furniture,Cabinet,Consumer,173.94,24.92,8
1030,2023-11-07,East,Furniture,Cabinet,Consumer,1348.55,306.65,6
1031,2023-03-28,West,Office Supplies,Pen Set,Home Office,1780.06,341.17,5
